mysql> select * from urls_crawled;
+----------------------------------------------------------------------------------------------------------------------------------+------+
| url                                                                                                                              | id   |
| http://cul.qq.com/a/20180201/005481.htm                                                                                          | NULL |
| http://cul.qq.com/a/20180201/005488.htm                                                                                          | NULL |
| http://cul.qq.com/a/20180201/005510.htm                                                                                          | NULL |
| http://cul.qq.com/a/20180201/005542.htm                                                                                          | NULL |
| http://cul.qq.com/a/20180201/007573.htm                                                                                          | NULL |
| http://cul.qq.com/a/20180201/007646.htm                                                                                          | NULL |
| http://cul.qq.com/a/20180201/007910.htm                                                                                          | NULL |
| http://dajia.qq.com/original/24persecond/rxq20180128.html                                                                        | NULL |
| http://dajia.qq.com/original/aboatnanjing/yzy20180126.html                                                                       | NULL |
| http://dajia.qq.com/original/category/chnx180131.html                                                                            | NULL |
| http://dajia.qq.com/original/category/lbc20180128.html                                                                           | NULL |
| http://dajia.qq.com/original/category/ldy180131.html                                                                             | NULL |
| http://dajia.qq.com/original/category/lq18012902.html                                                                            | NULL |
| http://dajia.qq.com/original/category/lwt180130.html                                                                             | NULL |
| http://dajia.qq.com/original/category/nc180201.html                                                                              | NULL |
| http://dajia.qq.com/original/category/ndl180130.html                                                                             | NULL |
| http://dajia.qq.com/original/category/wrch180131.html                                                                            | NULL |
| http://dajia.qq.com/original/category/zf20180126.html                                                                            | NULL |
| http://dajia.qq.com/original/food/xmm20180128.html                                                                               | NULL |
| http://dajia.qq.com/original/jzrl/zhdch180201.html                                                                               | NULL |
| http://dajia.qq.com/original/owl/lqlw180201.html                                                                                 | NULL |
| http://dajia.qq.com/original/owl/zcc20180126.html                                                                                | NULL |
| http://data.astro.qq.com/dayastro/70/70503/index.shtml                                                                           | NULL |
| http://data.auto.qq.com/car_brand/index.shtml                                                                                    | NULL |
| http://data.auto.qq.com/car_brand/index.shtml#10-15%E4%B8%87____                                                                 | NULL |
| http://data.auto.qq.com/car_brand/index.shtml#15-22%E4%B8%87____                                                                 | NULL |
| http://data.auto.qq.com/car_brand/index.shtml#22-35%E4%B8%87____                                                                 | NULL |
| http://data.auto.qq.com/car_brand/index.shtml#7-10%E4%B8%87____                                                                  | NULL |
| http://dc2.jd.com/auto.php?service=transfer&type=dmp&from=dmp&kid=72&klid=11726&to=http://www.jd.com                             | NULL |
| http://dc2.jd.com/auto.php?service=transfer&type=dmp&from=dmp&kid=77&klid=11727&to=http://www.jd.com                             | NULL |
| http://digi.tech.qq.com/a/20171220/001333.htm                                                                                    | NULL |
| http://digi.tech.qq.com/a/20180112/002676.htm                                                                                    | NULL |
| http://dldir1.qq.com/dlomg/qqcom/mini/QQNewsMini5.exe                                                                            | NULL |
| http://dldir1.qq.com/dlomg/qqcom/mini/QQNewsMini6.exe                                                                            | NULL |
| http://dn.qq.com/?ADTAG=media.innerenter.qqcom.index_navigation                                                                  | NULL |
| http://dnf.qq.com/?ADTAG=media.innerenter.qqcom.index_navigation                                                                 | NULL |
| http://dushu.qq.com/intro.html?bid=801482                                                                                        | NULL |
| http://dushu.qq.com/intro.html?bid=838210                                                                                        | NULL |
| http://dushu.qq.com/intro.html?bid=921569                                                                                        | NULL |
| http://eafifa.qq.com/?ADTAG=media.innerenter.qqcom.index_navigation                                                              | NULL |
| http://edu.qq.com/a/20180129/008355.htm                                                                                          | NULL |
| http://edu.qq.com/a/20180201/003855.htm                                                                                          | NULL |
| http://edu.qq.com/a/20180201/004205.htm                                                                                          | NULL |
| http://ent.qq.com/a/20180131/028532.htm                                                                                          | NULL |
| http://ent.qq.com/a/20180201/002711.htm                                                                                          | NULL |
| http://ent.qq.com/a/20180201/003164.htm#p=1                                                                                      | NULL |
| http://ent.qq.com/a/20180201/003557.htm                                                                                          | NULL |
| http://fans.sports.qq.com/post.htm?id=1591170383105491022&mid=62#1_allWithElite                                                  | NULL |
| http://fashion.qq.com/a/20180130/007006.htm                                                                                      | NULL |
| http://fashion.qq.com/a/20180131/006746.htm                                                                                      | NULL |
| http://fashion.qq.com/a/20180131/007033.htm                                                                                      | NULL |
| http://fashion.qq.com/beauty/beauty_list.htm                                                                                     | NULL |
| http://fashion.qq.com/l/visual/beauty01/list20130516102001.htm                                                                   | NULL |
| http://fashion.qq.com/original/ruliu/r943.html                                                                                   | NULL |
| http://fashion.qq.com/zt2015/ruliu/index.htm                                                                                     | NULL |
| http://finance.qq.com/a/20180201/001823.htm                                                                                      | NULL |
| http://finance.qq.com/a/20180201/001864.htm                                                                                      | NULL |
| http://finance.qq.com/a/20180201/002151.htm                                                                                      | NULL |
| http://finance.qq.com/a/20180201/009722.htm                                                                                      | NULL |
| http://finance.qq.com/a/20180201/010148.htm                                                                                      | NULL |
| http://finance.qq.com/a/20180201/011192.htm                                                                                      | NULL |
| http://finance.qq.com/a/20180201/012978.htm                                                                                      | NULL |
| http://finance.qq.com/a/20180201/014840.htm                                                                                      | NULL |
| http://finance.qq.com/money/cbt/index.html                                                                                       | NULL |
| http://finance.qq.com/zt2017/2017qqzb/ng.htm                                                                                     | NULL |
| http://fun.qq.com/funshop/index.php?app=ebook&act=appreciation                                                                   | NULL |
| http://g.qq.com?ADTAG=pcqq.home.sidenav                                                                                          | NULL |
| http://games.qq.com/a/20180130/000539.htm                                                                                        | NULL |
| http://games.qq.com/a/20180131/032307.htm                                                                                        | NULL |
| http://games.qq.com/a/20180201/000111.htm                                                                                        | NULL |
| http://gongyi.qq.com/a/20170531/016383.htm                                                                                       | NULL |
| http://gongyi.qq.com/a/20170531/017028.htm                                                                                       | NULL |
| http://gongyi.qq.com/a/20170602/024304.htm#p=1                                                                                   | NULL |
